formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C10H18O5,[M + Na]+,C10H18NaO5+,Fatty acids,0.989,Fatty Acids and Conjugates,0.968,Dicarboxylic acids,0.986,Lipids and lipid-like molecules,0.868,Fatty Acyls,0.867,Fatty acids and conjugates,0.830,Medium-chain fatty acids,0.709,Medium-chain fatty acids,0.709,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,241.105,219,3.650,830130442824052572,830129516809703395,830129516809703394,42827,
1,C45H66Cl2N6O10,[M + H]+,C45H67Cl2N6O10+,Amino acids and Peptides,0.989,Oligopeptides,1.000,Cyclic peptides,0.529,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.992,Peptides,0.941,Oligopeptides,0.783,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Phenols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Organochlorides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Cyclic peptides; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Alkyl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Oligopeptides; Chemical entities",921.431,219,3.651,830130466752561193,830129558547228489,830129558547228488,43492,
1,C27H53N5O10,[M + H]+,C27H54N5O10+,Amino acids and Peptides,0.758,Oligopeptides,0.870,Cyclic peptides,0.409,Organic acids and derivatives,0.909,Carboxylic acids and derivatives,0.799,Carboxylic acid derivatives,0.709,Carboxylic acid amides,0.769,Hydroxamic acids,0.663,Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Primary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,608.385,219,3.655,830130442920521619,830129551567905658,830129551567905657,43166,
1,C19H27N3O6,[M + H]+,C19H28N3O6+,Amino acids and Peptides,0.997,Small peptides,0.966,Tripeptides,0.808,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.998,Peptides,0.974,Oligopeptides,0.932,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Phenylalanine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities",394.198,219,3.657,830130456036112377,830129538125159343,830129538120965038,43303,
1,C39H54N8O10,[M + H]+,C39H55N8O10+,Amino acids and Peptides,1.000,Oligopeptides,0.999,Cyclic peptides,0.793,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",1.000,Peptides,0.998,Oligopeptides,0.879,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Pyrroles; Phenols; Phenethylamines; Amphetamines and derivatives; Indoles and derivatives; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Guanidines; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Substituted pyrroles; Benzene and substituted derivatives; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; Indoles; N-acylpyrrolidines; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 3-alkylindoles; Valine and derivatives; Histidine and derivatives; Tyrosine and derivatives; Phenylalanine and derivatives; Proline and derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Oligopeptides; Chemical entities",795.403,219,3.658,830130453314008508,830129556248749577,830129556248749576,43293,
1,C21H27N5O8,[M + H]+,C21H28N5O8+,Carbohydrates,0.914,Nucleosides,0.819,Purine nucleosides,0.702,Organic oxygen compounds,1.000,Organooxygen compounds,0.997,Carbohydrates and carbohydrate conjugates,0.809,Glycosyl compounds,0.842,Glycosylamines,0.802,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",478.193,220,3.658,830130464244366804,830129544131403581,830129544131403580,44249,
1,C41H59N7O12,[M + Na]+,C41H59N7NaO12+,Amino acids and Peptides,0.998,Oligopeptides,0.999,Cyclic peptides,0.880,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.995,Peptides,0.983,Oligopeptides,0.921,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Cyclic peptides; Benzene and substituted derivatives; Benzenoids; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities",864.410,220,3.663,830130494221064970,830129558090049303,830129558090049302,43514,
1,C28H47N3O9,[M + Na]+,C28H47N3NaO9+,Amino acids and Peptides,0.925,Small peptides,0.246,Tripeptides,0.086,Organic acids and derivatives,0.990,Carboxylic acids and derivatives,0.983,"Amino acids, peptides, and analogues",0.630,Amino acids and derivatives,0.620,Alpha amino acids and derivatives,0.595,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",592.318,220,3.664,830130468619026960,830129550716461816,830129550712267511,43571,
1,C10H10O4,[M + H]+,C10H11O4+,Shikimates and Phenylpropanoids,0.890,Phenolic acids (C6-C1),0.973,Simple phenolic acids,0.964,Benzenoids,1.000,Benzene and substituted derivatives,0.998,Benzoic acids and derivatives,0.998,Benzoic acid esters,0.886,Benzoic acid esters,0.886,Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,195.065,220,3.668,830130449295864770,830129506747566934,830129506747566933,43842,
1,C34H47N3O7,[M + Na]+,C34H47N3NaO7+,Amino acids and Peptides,0.978,Oligopeptides,0.959,Cyclic peptides,0.734,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.995,Peptides,0.849,Oligopeptides,0.778,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Cyclic peptides; Benzene and substituted derivatives; N-acyl-alpha amino acids; Benzenoids; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities",632.329,220,3.669,830130455339857765,830129552406766568,830129552406766567,43755,
1,C20H34O11,[M + Na]+,C20H34NaO11+,Terpenoids,0.941,Sesquiterpenoids,0.313,Menthane monoterpenoids,0.049,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.993,Sugar acids and derivatives,0.990,O-glucuronides,0.990,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Polyols; O-glucuronides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,473.200,220,3.671,830130473417312510,830129543619698438,830129543619698437,43790,
1,C20H32O10,[M + H]+,C20H33O10+,Fatty acids,0.579,Fatty acyl glycosides,0.890,Macrolide lactones,0.261,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.955,Monosaccharides,0.799,Hexoses,0.507,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,433.207,220,3.674,830130467729834254,830129540947926410,830129540947926409,43908,
1,C14H16O2,[M + H]+,C14H17O2+,Fatty acids,0.728,Fatty acyls,0.250,Fatty aldehydes,0.248,Organic oxygen compounds,0.996,Organooxygen compounds,0.991,Carbonyl compounds,0.729,,,Carbonyl compounds,0.729,Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,217.123,221,3.675,830130500617379892,830129511931727233,830129511931727232,43643,
1,C13H18,[M + H]+,C13H19+,Terpenoids,0.996,Sesquiterpenoids,0.974,Caryophyllane sesquiterpenoids,0.361,Lipids and lipid-like molecules,0.784,Prenol lipids,0.766,Sesquiterpenoids,0.685,,,Sesquiterpenoids,0.685,Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Sesquiterpenoids; Hydrocarbons; Olefins; Cyclic olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Branched unsaturated hydrocarbons; Chemical entities,175.148,221,3.677,830130449719489589,830129503891245605,830129503891245604,46927,
1,C11H14N3O4,[M + H]+,C11H15N3O4+,Amino acids and Peptides,0.965,Small peptides,0.703,Dipeptides,0.343,Organic acids and derivatives,0.992,Carboxylic acids and derivatives,0.978,"Amino acids, peptides, and analogues",0.726,Amino acids and derivatives,0.723,Alpha amino acids and derivatives,0.523,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",253.105,221,3.679,830130508137769101,830129518973964549,830129518969770244,46623,
1,C13H23NO6S,[M + H]+,C13H24NO6S+,Fatty acids,0.525,Small peptides,0.237,Leukotrienes,0.311,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.996,Amino acids and derivatives,0.996,N-acyl-alpha amino acids,0.833,"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",322.132,221,3.682,830130462939937915,830129529354868464,830129529354868463,42138,
1,C10H22O4,[M + Na]+,C10H22NaO4+,Fatty acids,0.964,Fatty acyls,0.900,Fatty alcohols,0.912,Lipids and lipid-like molecules,0.586,Fatty Acyls,0.660,,,,,Fatty Acyls,0.660,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,229.143,221,3.684,830130456837224603,830129514167291540,830129514163097235,44171,
1,C15H23FO2S,[M + H]+,C15H24FO2S+,Fatty acids,0.864,Fatty Acids and Conjugates,0.256,Halogenated fatty acids,0.037,Benzenoids,0.788,Benzene and substituted derivatives,0.788,Halobenzenes,0.812,Fluorobenzenes,0.859,Fluorobenzenes,0.859,Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Monocarboxylic acids and derivatives; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,287.148,221,3.686,830130466895167571,830129524736939010,830129524736939009,44268,
1,C15H30O8,[M + H]+,C15H31O8+,Fatty acids,0.729,Glycerolipids,0.341,Monoacylglycerols,0.073,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Ethers,0.996,Dialkyl ethers,0.993,Dialkyl ethers,0.993,Organic compounds; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,339.202,221,3.687,830130451812447489,830129531116476444,830129531116476443,44238,
1,C31H51N5O6S,[M + H]+,C31H52N5O6S+,Amino acids and Peptides,0.506,Oligopeptides,0.370,Imidazole alkaloids,0.116,Organoheterocyclic compounds,0.865,Biotin and derivatives,0.790,,,,,Biotin and derivatives,0.790,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiolanes; Biotin and derivatives; Imidazolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Imidazolidinones; Dialkyl ethers; Thioethers; Carboxylic acids; Thienoimidazolidines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",622.365,222,3.698,830130470405800800,830129552067027904,830129552062833599,44512,
1,C20H25NO9,[M + H]+,C20H26NO9+,Alkaloids,0.560,Tyrosine alkaloids,0.917,Phenylethylamines,0.743,Organic acids and derivatives,0.997,Carboxylic acids and derivatives,0.998,"Amino acids, peptides, and analogues",0.749,Amino acids and derivatives,0.747,Amino acids,0.745,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Glucuronides; Monoalkylamines; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Amines; Primary amines; O-glucuronides; Aralkylamines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",424.161,222,3.698,830130461870390163,830129540377500966,830129540377500965,44532,
1,C22H27N5O6,[M + H]+,C22H28N5O6+,Alkaloids,0.544,Guanidine alkaloids,0.315,Imidazole alkaloids,0.218,Organoheterocyclic compounds,0.952,Diazines,0.500,Pyrimidines and pyrimidine derivatives,0.510,,,Pyrimidines and pyrimidine derivatives,0.510,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Diazines; Carbonyl compounds; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,458.202,222,3.702,830130472154826356,830129542524984924,830129542524984923,41438,
1,C12H14O5,[M + H]+,C12H15O5+,Polyketides,0.781,Chromanes,0.572,Azaphilones,0.411,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbonyl compounds,0.938,Ketones,0.510,Ketones,0.510,Organic compounds; Organoheterocyclic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,239.091,222,3.703,830130481717841566,830129516285415320,830129516281221015,44632,
1,C11H12N2O8,[M + H]+,C11H13N2O8+,Amino acids and Peptides,0.487,Small peptides,0.221,Pyrrolidine alkaloids,0.119,Organic acids and derivatives,0.995,Carboxylic acids and derivatives,0.984,"Amino acids, peptides, and analogues",0.825,Amino acids and derivatives,0.825,Alpha amino acids and derivatives,0.883,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",301.066,222,3.704,830130463548112125,830129527064778085,830129527064778084,44663,
1,C19H26O9,[M + H]+,C19H27O9+,Terpenoids,0.698,Sesquiterpenoids,0.244,Open-chain polyketides,0.037,Organic oxygen compounds,1.000,Organooxygen compounds,0.999,Carbohydrates and carbohydrate conjugates,0.976,Sugar acids and derivatives,0.796,O-glucuronides,0.733,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Polyols; Benzenoids; O-glucuronides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,399.165,222,3.705,830130494556609374,830129538414566374,830129538414566373,46203,
1,C14H15NO4,[M + H]+,C14H16NO4+,Amino acids and Peptides,0.527,Lysine alkaloids,0.106,Aminoacids,0.067,Organoheterocyclic compounds,0.951,Isoindoles and derivatives,0.534,Isoindolines,0.544,,,Isoindolines,0.544,Organic compounds; Organoheterocyclic compounds; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acid imides; N-substituted carboxylic acid imides; Isoindoles and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Isoindolines; Pyrrolidine-2-ones; Dicarboximides; N-alkylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,262.108,223,3.713,830130481852059374,830129520668463595,830129520668463594,44889,
1,C21H28O10,[M + Na]+,C21H28NaO10+,Shikimates and Phenylpropanoids,0.887,Flavonoids,0.637,Flavanones,0.642,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.999,Glycosyl compounds,0.970,Phenolic glycosides,0.859,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Pyrans; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Sugar acids and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; O-glucuronides; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Phenoxy compounds; Chemical entities,463.157,223,3.714,830130470535824279,830129542915055256,830129542915055255,44929,
1,C18H29NO6,[M + H]+,C18H30NO6+,Fatty acids,0.463,Macrolides,0.356,Cyanogenic glycosides,0.246,Organic acids and derivatives,0.854,Carboxylic acids and derivatives,0.865,Dicarboxylic acids and derivatives,0.609,,,Dicarboxylic acids and derivatives,0.609,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Polyols; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,356.207,223,3.716,830130482858692756,830129533305903442,830129533305903441,45029,
1,C9H14N6O4,[M + H]+,C9H15N6O4+,Amino acids and Peptides,0.981,Small peptides,0.977,Dipeptides,0.637,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.988,Amino acids and derivatives,0.987,N-acyl-alpha amino acids,0.581,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",271.116,223,3.718,830130459966175890,830129522132275886,830129522132275885,44995,
